2026-06-01 18:20:05 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:20:06 | INFO     | __main__ | Teacher: 0 parameters
2026-06-01 18:20:07 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:20:07 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:21:18 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:21:19 | INFO     | __main__ | Teacher: 0 parameters
2026-06-01 18:21:19 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:21:20 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:21:20 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 18:21:20 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 18:21:20 | INFO     | __main__ | Compression ratio: 0.0×
2026-06-01 18:22:18 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:22:19 | INFO     | __main__ | Teacher: 0 parameters
2026-06-01 18:22:20 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:22:20 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:22:21 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 18:22:21 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 18:22:21 | INFO     | __main__ | Compression ratio: 0.0×
2026-06-01 18:22:21 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 18:23:22 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:23:23 | INFO     | __main__ | Teacher: 0 parameters
2026-06-01 18:23:23 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:23:24 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:23:24 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 18:23:24 | INFO     | __main__ | Student: 2,135,042 parameters
2026-06-01 18:23:24 | INFO     | __main__ | Compression ratio: 0.0×
2026-06-01 18:23:24 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 18:25:14 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:25:15 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 18:25:16 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:25:16 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:25:17 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 18:25:17 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 18:25:17 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 18:25:17 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 18:55:22 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 18:55:23 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 18:55:23 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 18:55:24 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 18:55:25 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 18:55:25 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 18:55:25 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 18:55:25 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 19:18:56 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 19:18:57 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 19:18:57 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 19:18:58 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 19:18:58 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 19:18:58 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 19:18:58 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 19:18:58 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 19:23:06 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 19:23:08 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 19:23:08 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 19:23:09 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 19:23:09 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 19:23:09 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 19:23:09 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 19:23:09 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 19:26:18 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 19:26:19 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 19:26:19 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 19:26:19 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 19:26:20 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 19:26:20 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 19:26:20 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 19:26:20 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-01 21:41:35 | INFO     | __main__ | Loading teacher from models/track_b/99m/best_99m.pt...
2026-06-01 21:41:36 | INFO     | __main__ | Teacher: 98,487,554 parameters
2026-06-01 21:41:36 | INFO     | __main__ | Applying INT8 QAT to student (encoder only)...
2026-06-01 21:41:37 | INFO     | __main__ | No precision-sensitive activations found in head — full INT8 QAT applies.
2026-06-01 21:41:37 | INFO     | __main__ | INT8 QAT applied to student encoder.
2026-06-01 21:41:37 | INFO     | __main__ | Student: 6,853,634 parameters
2026-06-01 21:41:37 | INFO     | __main__ | Compression ratio: 14.4×
2026-06-01 21:41:37 | INFO     | __main__ | Temperature schedule: 4.0 → 1.0 over 90 epochs
2026-06-02 05:04:42 | INFO     | __main__ | Distillation training complete.
